Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50029-3,MCF7,10045-101-1,A443654,10,uM,LJP6,72,hr,1389,547,5445,0.1004,-0.3780
50029-3,MCF7,10046-101-1,SB590885,0.04,uM,LJP5,72,hr,1389,5303,5905,0.8986,0.9003
50029-3,MCF7,10046-101-1,SB590885,0.12,uM,LJP5,72,hr,1389,5500,5905,0.9327,0.9342
50029-3,MCF7,10046-101-1,SB590885,0.37,uM,LJP5,72,hr,1389,5754,5905,0.9738,0.9741
50029-3,MCF7,10046-101-1,SB590885,1.11,uM,LJP5,72,hr,1389,6309,5905,1.0699,1.0657
50029-3,MCF7,10046-101-1,SB590885,3.33,uM,LJP5,72,hr,1389,6498,5905,1.1011,1.0947
50029-3,MCF7,10046-101-1,SB590885,10,uM,LJP5,72,hr,1389,4408,5905,0.7448,0.7334
50029-3,MCF7,10047-101-1,Pictilisib,0.04,uM,LJP6,72,hr,1389,2668,5445,0.4891,0.3892
50029-3,MCF7,10047-101-1,Pictilisib,0.12,uM,LJP6,72,hr,1389,2178,5445,0.4001,0.2554
50029-3,MCF7,10047-101-1,Pictilisib,0.37,uM,LJP6,72,hr,1389,1601,5445,0.2937,0.0728
50029-3,MCF7,10047-101-1,Pictilisib,1.11,uM,LJP6,72,hr,1389,1383,5445,0.2537,-0.0042
50029-3,MCF7,10047-101-1,Pictilisib,3.33,uM,LJP6,72,hr,1389,1289,5445,0.2364,-0.0391
50029-3,MCF7,10047-101-1,Pictilisib,10,uM,LJP6,72,hr,1389,1215,5445,0.2233,-0.0666
50029-3,MCF7,10048-101-1,PD184352,0.04,uM,LJP5,72,hr,1389,6167,5905,1.0438,1.0411
50029-3,MCF7,10048-101-1,PD184352,0.12,uM,LJP5,72,hr,1389,5122,5905,0.8672,0.8679
50029-3,MCF7,10048-101-1,PD184352,0.37,uM,LJP5,72,hr,1389,4444,5905,0.7520,0.7442
50029-3,MCF7,10048-101-1,PD184352,1.11,uM,LJP5,72,hr,1389,3827,5905,0.6477,0.6238
50029-3,MCF7,10048-101-1,PD184352,3.33,uM,LJP5,72,hr,1389,3553,5905,0.6029,0.5685
50029-3,MCF7,10048-101-1,PD184352,10,uM,LJP5,72,hr,1389,2750,5905,0.4653,0.3857
50029-3,MCF7,10049-101-1,PLX-4720,0.04,uM,LJP5,72,hr,1389,6242,5905,1.0572,1.0541
50029-3,MCF7,10049-101-1,PLX-4720,0.12,uM,LJP5,72,hr,1389,5721,5905,0.9689,0.9701
50029-3,MCF7,10049-101-1,PLX-4720,0.37,uM,LJP5,72,hr,1389,6284,5905,1.0634,1.0590
50029-3,MCF7,10049-101-1,PLX-4720,1.11,uM,LJP5,72,hr,1389,5989,5905,1.0147,1.0143
50029-3,MCF7,10049-101-1,PLX-4720,3.33,uM,LJP5,72,hr,1389,5426,5905,0.9189,0.9206
50029-3,MCF7,10049-101-1,PLX-4720,10,uM,LJP5,72,hr,1389,3091,5905,0.5230,0.4654
50029-3,MCF7,10051-104-1,Lapatinib,0.04,uM,LJP6,72,hr,1389,4859,5445,0.8951,0.8912
50029-3,MCF7,10051-104-1,Lapatinib,0.12,uM,LJP6,72,hr,1389,5503,5445,1.0138,1.0147
50029-3,MCF7,10051-104-1,Lapatinib,0.37,uM,LJP6,72,hr,1389,5614,5445,1.0316,1.0319
50029-3,MCF7,10051-104-1,Lapatinib,1.11,uM,LJP6,72,hr,1389,5610,5445,1.0319,1.0331
50029-3,MCF7,10051-104-1,Lapatinib,3.33,uM,LJP6,72,hr,1389,5083,5445,0.9368,0.9357
50029-3,MCF7,10051-104-1,Lapatinib,10,uM,LJP6,72,hr,1389,2624,5445,0.4818,0.3782
50029-3,MCF7,10052-101-1,Sirolimus,0.04,uM,LJP6,72,hr,1389,3193,5445,0.5886,0.5278
50029-3,MCF7,10052-101-1,Sirolimus,0.12,uM,LJP6,72,hr,1389,3177,5445,0.5840,0.5219
50029-3,MCF7,10052-101-1,Sirolimus,0.37,uM,LJP6,72,hr,1389,3167,5445,0.5826,0.5201
50029-3,MCF7,10052-101-1,Sirolimus,1.11,uM,LJP6,72,hr,1389,3115,5445,0.5726,0.5068
50029-3,MCF7,10052-101-1,Sirolimus,3.33,uM,LJP6,72,hr,1389,3196,5445,0.5878,0.5269
