Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,Average VIP Score
50988,LOXIMVI,48,hr,p-AKT(S473),1.66840
50988,LOXIMVI,48,hr,p-mTOR(S2448),0.84210
50988,LOXIMVI,48,hr,p-p70S6K(T421/S424),0.79744
50988,LOXIMVI,48,hr,p-p70S6K(T389),0.66219
50988,LOXIMVI,48,hr,p-S6(S235/236),-0.81001
50988,LOXIMVI,48,hr,p-AMPK(T172),-0.83515
50988,LOXIMVI,48,hr,p-JNK(T183/Y185),0.76336
50988,LOXIMVI,48,hr,Total c-Jun,0.71259
50988,LOXIMVI,48,hr,p-cJun(S63),-0.82320
50988,LOXIMVI,48,hr,p-P38(T180/Y182),0.40864
50988,LOXIMVI,48,hr,p-HSP27(S82),0.37526
50988,LOXIMVI,48,hr,p-NFKB(S536),-1.27990
50988,LOXIMVI,48,hr,Bim,-1.01350
50988,LOXIMVI,48,hr,cPARP,0.74425
50988,LOXIMVI,48,hr,p-Histone H3(S10),2.36090
50988,LOXIMVI,48,hr,p27 Kip1,-0.67224
50999,MMAC-SF,1,hr,p-p90RSK(S380),0.99779
50999,MMAC-SF,1,hr,p-p90RSK(T573),0.55150
50999,MMAC-SF,1,hr,p-AKT(T308),0.29854
50999,MMAC-SF,1,hr,p-AKT(S473),NaN
50999,MMAC-SF,1,hr,p-mTOR(S2448),0.61775
50999,MMAC-SF,1,hr,p-p70S6K(T421/S424),1.02160
50999,MMAC-SF,1,hr,p-p70S6K(T389),0.71001
50999,MMAC-SF,1,hr,p-S6(S235/236),0.36388
50999,MMAC-SF,1,hr,p-AMPK(T172),0.70575
50999,MMAC-SF,1,hr,p-JNK(T183/Y185),0.80535
50999,MMAC-SF,1,hr,Total c-Jun,0.83757
50999,MMAC-SF,1,hr,p-cJun(S63),0.53697
50999,MMAC-SF,1,hr,p-P38(T180/Y182),1.08040
50999,MMAC-SF,1,hr,p-HSP27(S82),0.47795
50999,MMAC-SF,1,hr,p-NFKB(S536),NaN
50999,MMAC-SF,1,hr,Bim,0.40180
50999,MMAC-SF,1,hr,cPARP,0.39099
50999,MMAC-SF,1,hr,p-Histone H3(S10),0.20740
50999,MMAC-SF,1,hr,p27 Kip1,NaN
50999,MMAC-SF,5,hr,p-p90RSK(S380),NaN
50999,MMAC-SF,5,hr,p-p90RSK(T573),-0.53739
50999,MMAC-SF,5,hr,p-AKT(T308),-0.66226
50999,MMAC-SF,5,hr,p-AKT(S473),-0.93946
50999,MMAC-SF,5,hr,p-mTOR(S2448),-0.75300
50999,MMAC-SF,5,hr,p-p70S6K(T421/S424),-0.53633
50999,MMAC-SF,5,hr,p-p70S6K(T389),NaN
50999,MMAC-SF,5,hr,p-S6(S235/236),0.45323
50999,MMAC-SF,5,hr,p-AMPK(T172),NaN
50999,MMAC-SF,5,hr,p-JNK(T183/Y185),NaN
50999,MMAC-SF,5,hr,Total c-Jun,0.84348
50999,MMAC-SF,5,hr,p-cJun(S63),NaN
50999,MMAC-SF,5,hr,p-P38(T180/Y182),NaN
50999,MMAC-SF,5,hr,p-HSP27(S82),-0.55491
50999,MMAC-SF,5,hr,p-NFKB(S536),NaN
50999,MMAC-SF,5,hr,Bim,-0.95959
50999,MMAC-SF,5,hr,cPARP,-0.85215
50999,MMAC-SF,5,hr,p-Histone H3(S10),-0.23039
50999,MMAC-SF,5,hr,p27 Kip1,-0.64165
50999,MMAC-SF,10,hr,p-p90RSK(S380),0.93844
50999,MMAC-SF,10,hr,p-p90RSK(T573),0.39402
50999,MMAC-SF,10,hr,p-AKT(T308),0.19664
50999,MMAC-SF,10,hr,p-AKT(S473),NaN
50999,MMAC-SF,10,hr,p-mTOR(S2448),0.79360
50999,MMAC-SF,10,hr,p-p70S6K(T421/S424),0.88541
50999,MMAC-SF,10,hr,p-p70S6K(T389),0.89999
50999,MMAC-SF,10,hr,p-S6(S235/236),1.20180
50999,MMAC-SF,10,hr,p-AMPK(T172),1.16830
50999,MMAC-SF,10,hr,p-JNK(T183/Y185),0.77294
50999,MMAC-SF,10,hr,Total c-Jun,1.76840
