Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_GMCSF,FI_IFN-y,FI_IL-1B,FI_IL-2,FI_IL-4,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-12,FI_MCP-1,FI_RANTES,FI_TGF-a,FI_TNF-a,FI_TNF-b
50869-1,U-937,1,54,7,14,17,24,25,163,33,16,15,321,-14,654,-30
50869-1,U-937,1,25,33,36,2,-12,4,164,32,28,21,168,7,99,25
50869-1,U-937,1,24,11,38,33,12,60,2613,41,48,284,1151,31,411,31
50869-1,U-937,1,-11,-19,1,44,-22,1,126,-4,8,36,740,-15,24,-11
50869-1,U-937,1,26,12,30,-6,15,4,250,21,31,64,303,9,50,2
50869-1,U-937,1,42,-2,32,-16,11,26,3346,28,22,2867,3602,90,3847,-14
50869-1,U-937,1,-5,-12,8,18,38,40,184,5,25,59,931,-3,373,-9
50869-1,U-937,1,8,18,0,-9,-6,10,2406,6,6,3688,2195,74,714,15
50869-1,U-937,1,17,9,-1,-9,-13,18,253,33,21,22,462,12,38,49
50869-1,U-937,1,18,15,66,53,11,25,3613,43,22,85,1118,-99,524,54
50869-1,U-937,1,-11,6,30,56,21,26,107,15,16,195,2482,-17,101,9
50869-1,U-937,1,33,11,12,-28,10,191,132,25,19,60,978,-17,1068,18
50869-1,U-937,1,-11,19,32,-2,10,22,58,27,-6,16,725,2,563,-12
50869-1,U-937,1,25,0,17,6,-2,43,434,13,20,760,3478,1,1654,14
50869-1,U-937,1,12,-5,46,21,-9,42,8239,48,49,143,2445,0,857,48
50869-1,U-937,1,35,-18,3,47,29,32,1830,2,70,188,2040,29,39,21
50869-1,U-937,1,10,5,19,8,26,-6,1957,14,20,54,1595,-3,1400,-1
50869-1,U-937,1,53,0,28,80,1,34,8099,44,114,2060,3227,53,1427,6
50869-1,U-937,1,-10,13,-5,12,-10,26,160,17,-6,55,3008,-53,1263,3
50869-1,U-937,1,19,12,17,-20,35,24,212,22,-2,61,312,18,252,3
50869-1,U-937,1,59,12,20,50,13,44,8661,56,49,104,4044,97,752,4
50869-1,U-937,1,11,22,26,-7,4,29,10025,129,41,53,2865,46,1172,27
50869-1,U-937,1,13,10,26,43,35,51,88,-4,4,27,911,8,368,-1
