Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,PC1 Loading,PC2 Loading
51100,K2,48,hr,p-NFKB(S536),-2.68750,-0.45045
51100,K2,48,hr,Bim,-5.80920,-0.89063
51100,K2,48,hr,cPARP,-3.56130,-0.67331
51100,K2,48,hr,p-Histone H3(S10),8.10740,1.35250
51100,K2,48,hr,p27 Kip1,-6.35540,-1.17370
50988,LOXIMVI,1,hr,pMEK(S217/221),1.90140,-5.11530
50988,LOXIMVI,1,hr,pERK(T202/Y204),4.84600,-3.07470
50988,LOXIMVI,1,hr,p-p90RSK(S380),0.74791,-0.35953
50988,LOXIMVI,1,hr,p-p90RSK(T573),0.65761,-0.21995
50988,LOXIMVI,1,hr,p-AKT(T308),NaN,NaN
50988,LOXIMVI,1,hr,p-AKT(S473),0.43841,0.52891
50988,LOXIMVI,1,hr,p-mTOR(S2448),1.11660,-0.51846
50988,LOXIMVI,1,hr,p-p70S6K(T421/S424),2.16880,-0.97852
50988,LOXIMVI,1,hr,p-p70S6K(T389),1.95300,-0.53050
50988,LOXIMVI,1,hr,p-S6(S235/236),0.28868,-0.49513
50988,LOXIMVI,1,hr,p-AMPK(T172),1.33460,-0.37751
50988,LOXIMVI,1,hr,p-JNK(T183/Y185),1.29370,-0.49629
50988,LOXIMVI,1,hr,Total c-Jun,1.22670,-0.57348
50988,LOXIMVI,1,hr,p-cJun(S63),1.12700,-0.45721
50988,LOXIMVI,1,hr,p-P38(T180/Y182),3.06110,-2.68300
50988,LOXIMVI,1,hr,p-HSP27(S82),1.08410,-0.50000
50988,LOXIMVI,1,hr,p-NFKB(S536),0.99121,-0.35991
50988,LOXIMVI,1,hr,Bim,1.89310,-0.30201
50988,LOXIMVI,1,hr,cPARP,1.09540,-0.28306
50988,LOXIMVI,1,hr,p-Histone H3(S10),0.37486,0.64204
50988,LOXIMVI,1,hr,p27 Kip1,1.44280,-0.79372
50988,LOXIMVI,5,hr,pMEK(S217/221),0.53975,-4.08460
50988,LOXIMVI,5,hr,pERK(T202/Y204),3.01990,-0.43901
50988,LOXIMVI,5,hr,p-p90RSK(S380),0.32683,0.72858
50988,LOXIMVI,5,hr,p-p90RSK(T573),0.51262,0.27323
50988,LOXIMVI,5,hr,p-AKT(T308),NaN,NaN
50988,LOXIMVI,5,hr,p-AKT(S473),-0.28148,1.35810
50988,LOXIMVI,5,hr,p-mTOR(S2448),0.13649,1.03060
50988,LOXIMVI,5,hr,p-p70S6K(T421/S424),0.09393,1.53030
50988,LOXIMVI,5,hr,p-p70S6K(T389),0.21672,1.93810
50988,LOXIMVI,5,hr,p-S6(S235/236),1.04020,-0.28521
50988,LOXIMVI,5,hr,p-AMPK(T172),-0.10043,1.10440
50988,LOXIMVI,5,hr,p-JNK(T183/Y185),0.17028,1.09670
50988,LOXIMVI,5,hr,Total c-Jun,0.97660,0.51354
50988,LOXIMVI,5,hr,p-cJun(S63),-1.07450,1.74440
50988,LOXIMVI,5,hr,p-P38(T180/Y182),-0.13950,1.17940
50988,LOXIMVI,5,hr,p-HSP27(S82),0.17619,0.69578
50988,LOXIMVI,5,hr,p-NFKB(S536),-0.20308,1.25910
50988,LOXIMVI,5,hr,Bim,0.05776,1.61040
50988,LOXIMVI,5,hr,cPARP,0.03754,1.22980
50988,LOXIMVI,5,hr,p-Histone H3(S10),-0.16373,1.22900
50988,LOXIMVI,5,hr,p27 Kip1,0.60930,0.35230
50988,LOXIMVI,10,hr,pMEK(S217/221),1.48060,-5.21470
50988,LOXIMVI,10,hr,pERK(T202/Y204),4.80110,-1.91990
50988,LOXIMVI,10,hr,p-p90RSK(S380),1.13100,-0.09360
50988,LOXIMVI,10,hr,p-p90RSK(T573),1.51060,-0.21652
50988,LOXIMVI,10,hr,p-AKT(T308),NaN,NaN
50988,LOXIMVI,10,hr,p-AKT(S473),1.12730,0.24639
50988,LOXIMVI,10,hr,p-mTOR(S2448),1.56660,-0.18706
50988,LOXIMVI,10,hr,p-p70S6K(T421/S424),2.34710,-0.07531
50988,LOXIMVI,10,hr,p-p70S6K(T389),2.37070,-0.07002
50988,LOXIMVI,10,hr,p-S6(S235/236),2.34170,-1.08710
50988,LOXIMVI,10,hr,p-AMPK(T172),1.25840,-0.09220
50988,LOXIMVI,10,hr,p-JNK(T183/Y185),1.52130,0.17262
50988,LOXIMVI,10,hr,Total c-Jun,2.10780,-0.47824
50988,LOXIMVI,10,hr,p-cJun(S63),0.56429,0.43862
50988,LOXIMVI,10,hr,p-P38(T180/Y182),2.21760,-0.79864
50988,LOXIMVI,10,hr,p-HSP27(S82),1.19940,-0.22674
50988,LOXIMVI,10,hr,p-NFKB(S536),1.07340,0.29559
50988,LOXIMVI,10,hr,Bim,1.62650,0.28689
50988,LOXIMVI,10,hr,cPARP,0.96645,0.34815
50988,LOXIMVI,10,hr,p-Histone H3(S10),0.97090,0.24712
50988,LOXIMVI,10,hr,p27 Kip1,0.88263,-0.17220
50988,LOXIMVI,24,hr,pMEK(S217/221),0.77258,-5.57340
50988,LOXIMVI,24,hr,pERK(T202/Y204),2.46960,-0.83956
50988,LOXIMVI,24,hr,p-p90RSK(S380),0.99782,0.16290
50988,LOXIMVI,24,hr,p-p90RSK(T573),0.70491,0.13171
50988,LOXIMVI,24,hr,p-AKT(T308),NaN,NaN
50988,LOXIMVI,24,hr,p-AKT(S473),-0.30402,1.02110
50988,LOXIMVI,24,hr,p-mTOR(S2448),0.53089,0.47276
50988,LOXIMVI,24,hr,p-p70S6K(T421/S424),0.47519,1.10270
50988,LOXIMVI,24,hr,p-p70S6K(T389),1.53590,1.05560
50988,LOXIMVI,24,hr,p-S6(S235/236),2.54140,-1.37440
50988,LOXIMVI,24,hr,p-AMPK(T172),-0.23340,1.06020
50988,LOXIMVI,24,hr,p-JNK(T183/Y185),0.38400,1.04720
50988,LOXIMVI,24,hr,Total c-Jun,1.70990,-0.35062
50988,LOXIMVI,24,hr,p-cJun(S63),0.13391,0.54488
50988,LOXIMVI,24,hr,p-P38(T180/Y182),0.63688,0.50756
50988,LOXIMVI,24,hr,p-HSP27(S82),0.36387,0.30241
50988,LOXIMVI,24,hr,p-NFKB(S536),0.16404,0.60448
50988,LOXIMVI,24,hr,Bim,-0.11516,1.54930
50988,LOXIMVI,24,hr,cPARP,0.05244,0.85122
50988,LOXIMVI,24,hr,p-Histone H3(S10),3.39840,-0.78259
50988,LOXIMVI,24,hr,p27 Kip1,-0.11160,0.26765
50988,LOXIMVI,48,hr,pMEK(S217/221),0.80333,-6.00350
50988,LOXIMVI,48,hr,pERK(T202/Y204),1.87120,-1.79890
50988,LOXIMVI,48,hr,p-p90RSK(S380),0.62773,-0.21142
50988,LOXIMVI,48,hr,p-p90RSK(T573),0.07922,0.01800
50988,LOXIMVI,48,hr,p-AKT(T308),NaN,NaN
50988,LOXIMVI,48,hr,p-AKT(S473),0.88994,-0.50061
50988,LOXIMVI,48,hr,p-mTOR(S2448),0.45549,-0.25390
50988,LOXIMVI,48,hr,p-p70S6K(T421/S424),1.06240,-0.65301
50988,LOXIMVI,48,hr,p-p70S6K(T389),1.58340,-0.57849
