Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,3,B14,72,hr,1209,1265,4121,0.3070,0.0257
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,1,B13,72,hr,1209,2148,3823,0.5619,0.4133
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,2,B13,72,hr,1209,1676,4093,0.4094,0.2037
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,3,B13,72,hr,1209,1613,4121,0.3914,0.1767
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,1,B12,72,hr,1209,3718,3980,0.9342,0.9223
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,2,B12,72,hr,1209,3993,4252,0.9389,0.9317
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,3,B12,72,hr,1209,4160,4376,0.9506,0.9461
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,1,B11,72,hr,1209,3758,3980,0.9442,0.9343
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,2,B11,72,hr,1209,3426,4252,0.8056,0.7753
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,3,B11,72,hr,1209,3986,4376,0.9109,0.9018
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,1,B10,72,hr,1209,2099,3980,0.5274,0.3782
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,2,B10,72,hr,1209,2077,4252,0.4884,0.3473
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,3,B10,72,hr,1209,2283,4376,0.5217,0.4083
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,1,B09,72,hr,1209,1519,3980,0.3817,0.1418
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,2,B09,72,hr,1209,1419,4252,0.3337,0.0920
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,3,B09,72,hr,1209,1408,4376,0.3217,0.0853
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,1,B08,72,hr,1209,1298,3980,0.3261,0.0419
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,2,B08,72,hr,1209,1363,4252,0.3205,0.0681
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,3,B08,72,hr,1209,1287,4376,0.2941,0.0340
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,1,B07,72,hr,1209,591,3980,0.1485,-0.3409
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,2,B07,72,hr,1209,517,4252,0.1216,-0.3741
50029-3,MCF7,10015-101-1,HG-5-113-01,10,uM,LJP5,3,B07,72,hr,1209,601,4376,0.1373,-0.3141
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,1,A24,72,hr,1209,2907,3823,0.7604,0.6958
