Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200858,HGF,45192,1,ng/ml,30,minute,pAkt,485.977
50576-2,184B5,200858,HGF,45280,100,ng/ml,30,minute,pAkt,1076.731
50576-2,184B5,200858,HGF,45160,1,ng/ml,90,minute,pAkt,453.453
50576-2,184B5,200858,HGF,45256,100,ng/ml,90,minute,pAkt,1018.760
50576-2,184B5,200858,HGF,44979,1,ng/ml,10,minute,pErk,1548.027
50576-2,184B5,200858,HGF,44712,100,ng/ml,10,minute,pErk,5553.830
50576-2,184B5,200858,HGF,44891,1,ng/ml,30,minute,pErk,1626.363
50576-2,184B5,200858,HGF,44951,100,ng/ml,30,minute,pErk,5153.205
50576-2,184B5,200858,HGF,44672,1,ng/ml,90,minute,pErk,1591.424
50576-2,184B5,200858,HGF,44747,100,ng/ml,90,minute,pErk,3304.276
50576-2,184B5,200858,HGF,45920,1,ng/ml,10,minute,pJnk,67.104
50576-2,184B5,200858,HGF,45940,100,ng/ml,10,minute,pJnk,79.021
50576-2,184B5,200858,HGF,45944,1,ng/ml,30,minute,pJnk,63.383
50576-2,184B5,200858,HGF,45836,100,ng/ml,30,minute,pJnk,78.479
50576-2,184B5,200858,HGF,46032,1,ng/ml,90,minute,pJnk,63.810
50576-2,184B5,200858,HGF,45936,100,ng/ml,90,minute,pJnk,74.543
50576-2,184B5,200858,HGF,45623,1,ng/ml,10,minute,pP38,203.876
50576-2,184B5,200858,HGF,45400,100,ng/ml,10,minute,pP38,246.157
50576-2,184B5,200858,HGF,45631,1,ng/ml,30,minute,pP38,204.357
50576-2,184B5,200858,HGF,45551,100,ng/ml,30,minute,pP38,248.646
50576-2,184B5,200858,HGF,45543,1,ng/ml,90,minute,pP38,212.409
50576-2,184B5,200858,HGF,45419,100,ng/ml,90,minute,pP38,212.573
50576-2,184B5,200853,NRG1,45220,1,ng/ml,10,minute,pAkt,484.500
50576-2,184B5,200853,NRG1,45076,100,ng/ml,10,minute,pAkt,934.563
50576-2,184B5,200853,NRG1,45112,1,ng/ml,30,minute,pAkt,439.265
50576-2,184B5,200853,NRG1,45351,100,ng/ml,30,minute,pAkt,719.096
50576-2,184B5,200853,NRG1,45036,1,ng/ml,90,minute,pAkt,509.847
50576-2,184B5,200853,NRG1,45156,100,ng/ml,90,minute,pAkt,700.189
50576-2,184B5,200853,NRG1,44608,1,ng/ml,10,minute,pErk,885.483
50576-2,184B5,200853,NRG1,44652,100,ng/ml,10,minute,pErk,1708.678
50576-2,184B5,200853,NRG1,44919,1,ng/ml,30,minute,pErk,1001.828
50576-2,184B5,200853,NRG1,44879,100,ng/ml,30,minute,pErk,1450.995
50576-2,184B5,200853,NRG1,44616,1,ng/ml,90,minute,pErk,2623.281
50576-2,184B5,200853,NRG1,44731,100,ng/ml,90,minute,pErk,1279.228
50576-2,184B5,200853,NRG1,45776,1,ng/ml,10,minute,pJnk,65.251
50576-2,184B5,200853,NRG1,45824,100,ng/ml,10,minute,pJnk,63.178
50576-2,184B5,200853,NRG1,45988,1,ng/ml,30,minute,pJnk,61.747
50576-2,184B5,200853,NRG1,46127,100,ng/ml,30,minute,pJnk,61.490
50576-2,184B5,200853,NRG1,45932,1,ng/ml,90,minute,pJnk,66.259
50576-2,184B5,200853,NRG1,46091,100,ng/ml,90,minute,pJnk,62.238
50576-2,184B5,200853,NRG1,45439,1,ng/ml,10,minute,pP38,210.123
50576-2,184B5,200853,NRG1,45639,100,ng/ml,10,minute,pP38,207.919
50576-2,184B5,200853,NRG1,45423,1,ng/ml,30,minute,pP38,213.880
50576-2,184B5,200853,NRG1,45627,100,ng/ml,30,minute,pP38,199.332
50576-2,184B5,200853,NRG1,45539,1,ng/ml,90,minute,pP38,208.442
50576-2,184B5,200853,NRG1,45675,100,ng/ml,90,minute,pP38,206.981
50576-2,184B5,200855,IGF-I,45088,1,ng/ml,10,minute,pAkt,442.884
50576-2,184B5,200855,IGF-I,45016,100,ng/ml,10,minute,pAkt,1427.749
50576-2,184B5,200855,IGF-I,45096,1,ng/ml,30,minute,pAkt,387.930
50576-2,184B5,200855,IGF-I,45204,100,ng/ml,30,minute,pAkt,1318.914
50576-2,184B5,200855,IGF-I,44992,1,ng/ml,90,minute,pAkt,442.586
50576-2,184B5,200855,IGF-I,45336,100,ng/ml,90,minute,pAkt,1305.869
50576-2,184B5,200855,IGF-I,44660,1,ng/ml,10,minute,pErk,1644.385
50576-2,184B5,200855,IGF-I,44883,100,ng/ml,10,minute,pErk,2706.824
50576-2,184B5,200855,IGF-I,44943,1,ng/ml,30,minute,pErk,1058.434
50576-2,184B5,200855,IGF-I,44771,100,ng/ml,30,minute,pErk,1407.444
50576-2,184B5,200855,IGF-I,44971,1,ng/ml,90,minute,pErk,1183.358
50576-2,184B5,200855,IGF-I,44875,100,ng/ml,90,minute,pErk,1392.666
50576-2,184B5,200855,IGF-I,46083,1,ng/ml,10,minute,pJnk,69.636
50576-2,184B5,200855,IGF-I,46079,100,ng/ml,10,minute,pJnk,67.079
50576-2,184B5,200855,IGF-I,45796,1,ng/ml,30,minute,pJnk,64.375
50576-2,184B5,200855,IGF-I,45780,100,ng/ml,30,minute,pJnk,67.570
50576-2,184B5,200855,IGF-I,45828,1,ng/ml,90,minute,pJnk,64.171
50576-2,184B5,200855,IGF-I,46095,100,ng/ml,90,minute,pJnk,63.814
50576-2,184B5,200855,IGF-I,45719,1,ng/ml,10,minute,pP38,202.734
50576-2,184B5,200855,IGF-I,45599,100,ng/ml,10,minute,pP38,218.094
50576-2,184B5,200855,IGF-I,45635,1,ng/ml,30,minute,pP38,206.422
50576-2,184B5,200855,IGF-I,45591,100,ng/ml,30,minute,pP38,199.069
50576-2,184B5,200855,IGF-I,45471,1,ng/ml,90,minute,pP38,212.903
50576-2,184B5,200855,IGF-I,45431,100,ng/ml,90,minute,pP38,203.571
50576-2,184B5,200856,IGF-II,45012,1,ng/ml,10,minute,pAkt,426.154
50576-2,184B5,200856,IGF-II,45056,100,ng/ml,10,minute,pAkt,911.981
50576-2,184B5,200856,IGF-II,45044,1,ng/ml,30,minute,pAkt,403.407
50576-2,184B5,200856,IGF-II,45176,100,ng/ml,30,minute,pAkt,833.285
